tree_ID,family,block,endo_trt,rust_trt
1466,ENDO-155,3,Control,Yes
1467,ENDO-155,3,Control,Yes
1468,ENDO-155,3,Control,Yes
1469,ENDO-155,3,Control,Yes
1470,ENDO-160,3,Control,Yes
1471,ENDO-160,3,Control,Yes
1472,ENDO-160,3,Control,Yes
1473,ENDO-160,3,Control,Yes
1474,ENDO-160,3,Control,Yes
1475,ENDO-158,3,Control,Yes
1476,ENDO-158,3,Control,Yes
1477,ENDO-158,3,Control,Yes
1478,ENDO-158,3,Control,Yes
1479,ENDO-158,3,Control,Yes
1480,ENDO-158,3,Control,Yes
1481,ENDO-158,3,Control,Yes
1482,ENDO-155,4,Control,Yes
1483,ENDO-155,4,Control,Yes
1484,ENDO-155,4,Control,Yes
1485,ENDO-155,4,Control,Yes
1486,ENDO-155,4,Control,Yes
1487,ENDO-155,4,Control,Yes
1488,ENDO-155,4,Control,Yes
1489,ENDO-160,4,Control,Yes
1490,ENDO-160,4,Control,Yes
1491,ENDO-160,4,Control,Yes
1492,ENDO-160,4,Control,Yes
1493,ENDO-158,4,Control,Yes
1494,ENDO-158,4,Control,Yes
1495,ENDO-158,4,Control,Yes
1496,ENDO-158,4,Control,Yes
1497,ENDO-158,4,Control,Yes
1498,ENDO-158,4,Control,Yes
1499,ENDO-158,4,Control,Yes
1500,ENDO-159,4,Control,Yes
1501,ENDO-159,4,Control,Yes
1502,ENDO-159,4,Control,Yes
1503,ENDO-159,4,Control,Yes
1504,ENDO-159,4,Control,Yes
1505,ENDO-157,4,Control,Yes
1506,ENDO-157,4,Control,Yes
1507,ENDO-157,4,Control,Yes
1508,ENDO-157,4,Control,Yes
1509,ENDO-156,4,Control,Yes
1510,ENDO-156,4,Control,Yes
1511,ENDO-156,4,Control,Yes
1512,ENDO-156,4,Control,Yes
1513,ENDO-156,4,Control,Yes
1514,ENDO-157,1,FFE,No
1515,ENDO-157,1,FFE,No
1516,ENDO-157,1,FFE,No
1517,ENDO-157,1,FFE,No
1518,ENDO-155,1,FFE,No
1519,ENDO-155,1,FFE,No
1520,ENDO-155,1,FFE,No
1521,ENDO-155,1,FFE,No
1522,ENDO-155,1,FFE,No
1523,ENDO-155,1,FFE,No
1524,ENDO-155,1,FFE,No
1525,ENDO-156,1,FFE,No
1526,ENDO-156,1,FFE,No
1527,ENDO-156,1,FFE,No
1528,ENDO-156,1,FFE,No
1529,ENDO-156,1,FFE,No
1530,ENDO-158,1,FFE,No
1531,ENDO-158,1,FFE,No
1532,ENDO-158,1,FFE,No
1533,ENDO-158,1,FFE,No
1534,ENDO-158,1,FFE,No
1535,ENDO-158,1,FFE,No
1536,ENDO-158,1,FFE,No
1537,ENDO-160,1,FFE,No
1538,ENDO-160,1,FFE,No
1539,ENDO-160,1,FFE,No
1540,ENDO-160,1,FFE,No
1541,ENDO-160,1,FFE,No
1542,ENDO-159,1,FFE,No
1543,ENDO-159,1,FFE,No
1544,ENDO-159,1,FFE,No
1545,ENDO-159,1,FFE,No
1546,ENDO-158,2,FFE,No
1547,ENDO-158,2,FFE,No
1548,ENDO-158,2,FFE,No
1549,ENDO-158,2,FFE,No
1550,ENDO-158,2,FFE,No
1551,ENDO-158,2,FFE,No
1552,ENDO-158,2,FFE,No
1553,ENDO-160,2,FFE,No
1554,ENDO-160,2,FFE,No
1555,ENDO-160,2,FFE,No
1556,ENDO-160,2,FFE,No
1557,ENDO-155,2,FFE,No
1558,ENDO-155,2,FFE,No
1559,ENDO-155,2,FFE,No
1560,ENDO-155,2,FFE,No
1561,ENDO-155,2,FFE,No
1562,ENDO-155,2,FFE,No
1563,ENDO-155,2,FFE,No
1564,ENDO-156,2,FFE,No
1565,ENDO-156,2,FFE,No
1566,ENDO-156,2,FFE,No
1567,ENDO-156,2,FFE,No
1568,ENDO-156,2,FFE,No
1569,ENDO-159,2,FFE,No
1570,ENDO-159,2,FFE,No
1571,ENDO-159,2,FFE,No
1572,ENDO-159,2,FFE,No
1573,ENDO-159,2,FFE,No
1574,ENDO-157,2,FFE,No
1575,ENDO-157,2,FFE,No
1576,ENDO-157,2,FFE,No
1577,ENDO-157,2,FFE,No
1578,ENDO-160,3,FFE,No
1579,ENDO-160,3,FFE,No
1580,ENDO-160,3,FFE,No
1581,ENDO-160,3,FFE,No
1582,ENDO-160,3,FFE,No
1583,ENDO-159,3,FFE,No
1584,ENDO-159,3,FFE,No
1585,ENDO-159,3,FFE,No
1586,ENDO-159,3,FFE,No
1587,ENDO-157,3,FFE,No
1588,ENDO-157,3,FFE,No
1589,ENDO-157,3,FFE,No
1590,ENDO-157,3,FFE,No
1591,ENDO-156,3,FFE,No
1592,ENDO-156,3,FFE,No
1593,ENDO-156,3,FFE,No
1594,ENDO-156,3,FFE,No
1595,ENDO-156,3,FFE,No
1596,ENDO-156,3,FFE,No
1597,ENDO-158,3,FFE,No
1598,ENDO-158,3,FFE,No
1599,ENDO-158,3,FFE,No
1600,ENDO-158,3,FFE,No
1601,ENDO-158,3,FFE,No
1602,ENDO-158,3,FFE,No
1603,ENDO-155,3,FFE,No
1604,ENDO-155,3,FFE,No
1605,ENDO-155,3,FFE,No
1606,ENDO-155,3,FFE,No
1607,ENDO-155,3,FFE,No
1608,ENDO-155,3,FFE,No
1609,ENDO-155,3,FFE,No
1610,ENDO-156,4,FFE,No
1611,ENDO-156,4,FFE,No
1612,ENDO-156,4,FFE,No
1613,ENDO-156,4,FFE,No
1614,ENDO-156,4,FFE,No
1615,ENDO-156,4,FFE,No
1616,ENDO-157,4,FFE,No
1617,ENDO-157,4,FFE,No
1618,ENDO-157,4,FFE,No
1619,ENDO-157,4,FFE,No
1620,ENDO-157,4,FFE,No
1621,ENDO-155,4,FFE,No
1622,ENDO-155,4,FFE,No
1623,ENDO-155,4,FFE,No
1624,ENDO-155,4,FFE,No
1625,ENDO-155,4,FFE,No
1626,ENDO-155,4,FFE,No
1627,ENDO-159,4,FFE,No
1628,ENDO-159,4,FFE,No
1629,ENDO-159,4,FFE,No
1630,ENDO-159,4,FFE,No
1631,ENDO-159,4,FFE,No
1632,ENDO-158,4,FFE,No
1633,ENDO-158,4,FFE,No
1634,ENDO-158,4,FFE,No
1635,ENDO-158,4,FFE,No
1636,ENDO-158,4,FFE,No
1637,ENDO-158,4,FFE,No
1638,ENDO-160,4,FFE,No
1639,ENDO-160,4,FFE,No
1640,ENDO-160,4,FFE,No
1641,ENDO-160,4,FFE,No
1642,ENDO-159,1,EMF,No
1643,ENDO-159,1,EMF,No
1644,ENDO-159,1,EMF,No
1645,ENDO-159,1,EMF,No
1646,ENDO-159,1,EMF,No
1647,ENDO-157,1,EMF,No
1648,ENDO-157,1,EMF,No
1649,ENDO-157,1,EMF,No
1650,ENDO-157,1,EMF,No
1651,ENDO-157,1,EMF,No
1652,ENDO-160,1,EMF,No
1653,ENDO-160,1,EMF,No
1654,ENDO-160,1,EMF,No
1655,ENDO-160,1,EMF,No
1656,ENDO-155,1,EMF,No
1657,ENDO-155,1,EMF,No
1658,ENDO-155,1,EMF,No
1659,ENDO-155,1,EMF,No
1660,ENDO-155,1,EMF,No
1661,ENDO-155,1,EMF,No
1662,ENDO-155,1,EMF,No
1663,ENDO-156,1,EMF,No
1664,ENDO-156,1,EMF,No
1665,ENDO-156,1,EMF,No
1666,ENDO-156,1,EMF,No
1667,ENDO-156,1,EMF,No
1668,ENDO-158,1,EMF,No
1669,ENDO-158,1,EMF,No
1670,ENDO-158,1,EMF,No
1671,ENDO-158,1,EMF,No
1672,ENDO-158,1,EMF,No
1673,ENDO-158,1,EMF,No
1674,ENDO-159,2,EMF,No
1675,ENDO-159,2,EMF,No
1676,ENDO-159,2,EMF,No
1677,ENDO-159,2,EMF,No
1678,ENDO-159,2,EMF,No
1679,ENDO-156,2,EMF,No
1680,ENDO-156,2,EMF,No
1681,ENDO-156,2,EMF,No
1682,ENDO-156,2,EMF,No
1683,ENDO-156,2,EMF,No
1684,ENDO-157,2,EMF,No
1685,ENDO-157,2,EMF,No
1686,ENDO-157,2,EMF,No
1687,ENDO-157,2,EMF,No
1688,ENDO-160,2,EMF,No
1689,ENDO-160,2,EMF,No
1690,ENDO-160,2,EMF,No
1691,ENDO-160,2,EMF,No
1692,ENDO-155,2,EMF,No
1693,ENDO-155,2,EMF,No
1694,ENDO-155,2,EMF,No
1695,ENDO-155,2,EMF,No
1696,ENDO-155,2,EMF,No
