tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1086,2019,FFE,pre_rust,3,ENDO-155,diterpene,neoabietic,dw,0.425
1086,2019,FFE,pre_rust,3,ENDO-155,diterpene,palustric,dw,2.692
1086,2019,FFE,pre_rust,3,ENDO-155,diterpene,abietic,dw,1.262
1088,2019,FFE,pre_rust,3,ENDO-159,diterpene,dehydroabietic,dw,0.303
1088,2019,FFE,pre_rust,3,ENDO-159,diterpene,levopiramic,dw,7.136
1088,2019,FFE,pre_rust,3,ENDO-159,diterpene,sandaracopiramic,dw,3.021
1088,2019,FFE,pre_rust,3,ENDO-159,diterpene,neoabietic,dw,0.225
1088,2019,FFE,pre_rust,3,ENDO-159,diterpene,palustric,dw,1.287
1088,2019,FFE,pre_rust,3,ENDO-159,diterpene,abietic,dw,1.112
1090,2019,FFE,pre_rust,3,ENDO-159,diterpene,dehydroabietic,dw,0.146
1090,2019,FFE,pre_rust,3,ENDO-159,diterpene,levopiramic,dw,0
1090,2019,FFE,pre_rust,3,ENDO-159,diterpene,sandaracopiramic,dw,1.889
1090,2019,FFE,pre_rust,3,ENDO-159,diterpene,neoabietic,dw,0.186
1090,2019,FFE,pre_rust,3,ENDO-159,diterpene,palustric,dw,1.027
1090,2019,FFE,pre_rust,3,ENDO-159,diterpene,abietic,dw,0.405
1093,2019,FFE,pre_rust,3,ENDO-160,diterpene,dehydroabietic,dw,0.246
1093,2019,FFE,pre_rust,3,ENDO-160,diterpene,levopiramic,dw,10.395
1093,2019,FFE,pre_rust,3,ENDO-160,diterpene,sandaracopiramic,dw,2.396
1093,2019,FFE,pre_rust,3,ENDO-160,diterpene,neoabietic,dw,0.272
1093,2019,FFE,pre_rust,3,ENDO-160,diterpene,palustric,dw,1.676
1093,2019,FFE,pre_rust,3,ENDO-160,diterpene,abietic,dw,0.877
1096,2019,FFE,pre_rust,3,ENDO-160,diterpene,dehydroabietic,dw,0.484
1096,2019,FFE,pre_rust,3,ENDO-160,diterpene,levopiramic,dw,8.278
1096,2019,FFE,pre_rust,3,ENDO-160,diterpene,sandaracopiramic,dw,4.13
1096,2019,FFE,pre_rust,3,ENDO-160,diterpene,neoabietic,dw,0.373
1096,2019,FFE,pre_rust,3,ENDO-160,diterpene,palustric,dw,2.289
1096,2019,FFE,pre_rust,3,ENDO-160,diterpene,abietic,dw,1.148
1098,2019,FFE,pre_rust,4,ENDO-155,diterpene,dehydroabietic,dw,0.301
1098,2019,FFE,pre_rust,4,ENDO-155,diterpene,levopiramic,dw,11.244
1098,2019,FFE,pre_rust,4,ENDO-155,diterpene,sandaracopiramic,dw,1.524
1098,2019,FFE,pre_rust,4,ENDO-155,diterpene,neoabietic,dw,0.41
1098,2019,FFE,pre_rust,4,ENDO-155,diterpene,palustric,dw,2.717
1098,2019,FFE,pre_rust,4,ENDO-155,diterpene,abietic,dw,1.467
1100,2019,FFE,pre_rust,4,ENDO-155,diterpene,dehydroabietic,dw,0.419
1100,2019,FFE,pre_rust,4,ENDO-155,diterpene,levopiramic,dw,5.412
1100,2019,FFE,pre_rust,4,ENDO-155,diterpene,sandaracopiramic,dw,3.191
1100,2019,FFE,pre_rust,4,ENDO-155,diterpene,neoabietic,dw,0.434
1100,2019,FFE,pre_rust,4,ENDO-155,diterpene,palustric,dw,2.503
1100,2019,FFE,pre_rust,4,ENDO-155,diterpene,abietic,dw,1.556
1104,2019,FFE,pre_rust,4,ENDO-159,diterpene,dehydroabietic,dw,0.368
1104,2019,FFE,pre_rust,4,ENDO-159,diterpene,levopiramic,dw,12.802
1104,2019,FFE,pre_rust,4,ENDO-159,diterpene,sandaracopiramic,dw,4.82
1104,2019,FFE,pre_rust,4,ENDO-159,diterpene,neoabietic,dw,0.3
1104,2019,FFE,pre_rust,4,ENDO-159,diterpene,palustric,dw,1.618
1104,2019,FFE,pre_rust,4,ENDO-159,diterpene,abietic,dw,1.111
1105,2019,FFE,pre_rust,4,ENDO-159,diterpene,dehydroabietic,dw,0.272
1105,2019,FFE,pre_rust,4,ENDO-159,diterpene,levopiramic,dw,12.972
1105,2019,FFE,pre_rust,4,ENDO-159,diterpene,sandaracopiramic,dw,3.031
1105,2019,FFE,pre_rust,4,ENDO-159,diterpene,neoabietic,dw,0.194
1105,2019,FFE,pre_rust,4,ENDO-159,diterpene,palustric,dw,1.07
1105,2019,FFE,pre_rust,4,ENDO-159,diterpene,abietic,dw,1.465
1110,2019,FFE,pre_rust,4,ENDO-158,diterpene,dehydroabietic,dw,0.303
1110,2019,FFE,pre_rust,4,ENDO-158,diterpene,levopiramic,dw,0
1110,2019,FFE,pre_rust,4,ENDO-158,diterpene,sandaracopiramic,dw,2.898
1110,2019,FFE,pre_rust,4,ENDO-158,diterpene,neoabietic,dw,0.298
1110,2019,FFE,pre_rust,4,ENDO-158,diterpene,palustric,dw,1.979
1110,2019,FFE,pre_rust,4,ENDO-158,diterpene,abietic,dw,0.998
1113,2019,FFE,pre_rust,4,ENDO-158,diterpene,dehydroabietic,dw,0.433
1113,2019,FFE,pre_rust,4,ENDO-158,diterpene,levopiramic,dw,13.524
1113,2019,FFE,pre_rust,4,ENDO-158,diterpene,sandaracopiramic,dw,3.496
