tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1237,4100,36.5,4,8,Yes,1,27.8,4,7,1,5,7,0,0,7,4,7,7,4,5,1,2,4,0,0,4,13.9
1238,4100,NA,4,9,No,3,24,4,7,1,4,5,0,0,5,4,6,5,4,1,1,0,1,0,0,1,13
1239,4100,38,4,8,Yes,2,29.4,4,7,1,11,12,0,0,12,4,7,12,4,2,1,10,12,0,0,12,15.2
1240,4100,45,4,8,Yes,1,35.5,4,7,1,5,7,0,0,7,4,6,6,4,2,1,3,4,0,0,4,18
1241,4100,46.5,0,0,Yes,1,24.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.5
1242,4100,33,0,0,Yes,1,19.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9
1243,4100,40,0,0,Yes,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
1244,4100,47,0,0,Yes,1,32.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
1245,4100,34.5,0,0,Yes,1,25.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.5
1246,4100,28,0,0,Yes,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.5
1247,4100,NA,4,9,No,3,20.5,4,8,2,3,3,0,0,3,4,6,3,0,0,1,0,0,0,0,0,10
1248,4100,NA,4,9,No,3,27,4,8,1,7,7,0,0,7,4,8,7,4,2,1,2,2,0,0,2,13.3
1249,4100,NA,4,9,No,3,19.5,4,7,1,7,7,0,0,7,4,7,7,4,2,1,4,7,0,0,7,13
1250,4100,37,4,8,Yes,2,30,4,8,1,10,18,0,0,18,4,8,18,4,5,1,10,18,0,0,18,17.6
1251,4100,NA,4,9,No,3,16.5,4,8,1,13,15,0,0,15,4,8,15,4,5,1,12,15,0,0,15,12.7
1252,4100,50.5,0,0,Yes,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.3
1253,4100,NA,4,9,No,3,32.3,4,7,1,3,3,0,0,3,4,6,3,4,3,1,3,1,1,1,3,12.5
1254,4100,45.5,0,0,Yes,1,34,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.8
1255,4100,NA,4,9,No,3,32,4,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11.1
1256,4100,28.5,4,8,Yes,2,21,4,6,1,4,8,0,0,8,4,6,8,0,0,1,0,0,0,0,0,14.9
1257,4100,26,4,7,Yes,1,19,4,8,1,6,8,0,0,8,4,7,8,4,3,1,5,8,0,0,8,15.3
1258,3240,41,4,6,Yes,1,34,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.3
1259,3240,42,0,0,Yes,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
1260,3240,NA,9,9,NA,NA,19.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.5
1261,3240,NA,4,9,No,3,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.5
1262,3240,43,0,0,Yes,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.8
1263,3240,21.5,0,0,Yes,2,16.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.5
1264,3240,61,0,0,Yes,1,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.5
1265,3240,NA,4,9,No,3,33,4,3,1,3,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,17.2
1266,3240,60.5,4,6,Yes,1,35,4,3,1,2,1,1,0,2,4,3,1,0,0,1,0,0,0,0,0,16
1267,3240,NA,4,9,No,3,27.5,4,7,1,6,8,0,0,8,4,7,8,4,5,1,4,4,0,0,4,15.6
1268,3240,NA,4,9,No,3,32,4,4,1,8,5,6,0,11,4,3,4,0,0,1,0,0,0,0,0,18.9
1269,3240,NA,4,9,No,3,26.5,4,4,1,3,1,2,1,4,4,5,4,4,1,1,0,2,0,0,2,19
1271,3240,NA,4,9,No,3,30.5,4,7,1,6,13,0,0,13,4,6,11,4,5,1,3,7,0,0,7,22.2
1272,3240,NA,4,9,No,3,22,4,5,1,5,7,0,0,7,4,4,4,0,0,1,0,0,0,0,0,14
1273,3240,NA,4,9,No,3,20,4,7,2,4,5,0,0,5,4,7,5,4,4,1,3,4,0,0,4,9.5
1274,3240,NA,4,9,No,3,31,4,8,1,8,18,0,0,18,4,8,17,4,4,1,7,13,0,0,13,18.6
1275,3240,NA,4,9,No,3,24,4,7,1,7,8,0,0,8,4,6,8,4,4,1,3,4,0,0,4,14.4
1276,3240,NA,4,9,No,3,26,4,6,1,5,7,0,0,7,4,5,7,4,1,1,0,2,0,0,2,13.4
1277,3240,NA,4,9,No,3,28.5,4,6,1,5,5,0,0,5,4,6,5,4,3,1,4,4,0,0,4,14.8
1278,3240,NA,4,9,No,3,20,4,8,1,8,11,0,0,11,4,8,11,4,6,1,7,11,0,0,11,12.5
1279,3240,NA,4,9,No,3,22,4,5,1,5,5,0,0,5,4,5,5,0,0,1,0,0,0,0,0,11.9
1280,3240,NA,4,9,No,3,19.5,4,5,1,2,5,0,0,5,4,5,5,4,1,1,0,2,0,0,2,9
1281,3240,NA,9,9,NA,NA,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5
1282,3240,28,4,7,Yes,2,21.5,4,4,1,2,4,0,0,4,4,4,4,4,2,1,1,1,0,0,1,11.6
1283,3240,48.5,4,6,Yes,6,21.5,4,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10.9
1284,3240,49,4,5,Yes,1,30,4,3,1,2,3,0,0,3,4,3,2,0,0,1,0,0,0,0,0,15
1285,3240,NA,4,9,No,3,29,0,0,1,0,0,0,0,0,4,2,1,0,0,1,0,0,0,0,0,14.5
1286,3240,56,0,0,Yes,1,28.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.2
1287,3240,49,4,3,Yes,1,26.5,4,3,1,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,18.3
1288,3240,NA,4,9,No,3,27.5,4,4,1,4,6,0,0,6,4,5,6,4,3,1,1,2,0,0,2,17.2
1289,3240,47,4,8,Yes,6,28.5,4,2,1,3,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,13.5
1290,3860,NA,4,9,No,3,19,4,4,1,2,2,0,0,2,4,5,2,0,0,1,0,0,0,0,0,8
1291,3860,NA,4,9,No,3,31,4,5,1,4,6,0,0,6,4,5,6,4,1,1,0,1,0,0,1,15.4
1292,3860,NA,4,9,No,3,29,4,5,1,3,4,0,0,4,4,4,2,0,0,1,0,0,0,0,0,13.9
1293,3860,NA,4,9,No,3,29.5,4,7,1,5,7,0,0,7,4,6,4,0,0,1,0,0,0,0,0,16.5
