tree_ID,ht6,ht5,ht1
1647,61,37,14.7
1648,68.5,35,13.9
1649,NA,NA,7
1650,58,29.5,10
1651,60,24.9,11
1652,58,27.5,13.8
1653,58,41.8,17.4
1654,63.5,32.5,15.8
1655,55.5,33.5,15.5
1656,54.5,36.5,14
1657,63.5,40.5,15
1658,NA,NA,14.9
1659,77.5,39.4,15
1660,73,39,12.5
1661,72,38.5,12
1662,56.5,42.5,17.5
1663,58,43,13.5
1664,66,35.5,14.6
1665,62.5,40,23.9
1666,21,21,12.6
1667,40,20.6,10.9
1668,54,28.5,12
1669,64.5,33.7,16
1670,40,24,13.2
1671,NA,NA,16
1672,40.5,33.3,11
1673,49,30,14
1674,42,22.5,9.5
1675,58,44.5,15.3
1676,56.5,36.6,14.5
1677,36.5,26.4,12.4
1678,48,27.3,13.9
1679,55.5,30,13.9
1680,51.5,29.6,12.3
1681,51.5,27.7,10.5
1682,66.5,47.4,17
1683,43,29.5,13
1684,50,35.6,13.7
1685,51.5,23.8,9.5
1686,65.5,33.6,13
1687,76,43.4,16.2
1688,69,40,16.5
1689,69,38.6,18.5
1690,67.5,42.6,15.5
1691,57.5,33.8,14.5
1692,66,31.5,14.5
1693,NA,NA,15.1
1694,68.5,34.7,14.5
1695,44,36.5,14
1696,NA,NA,15
1697,63,39.5,14.6
1698,35,23.5,12
1699,30.5,21.5,11.5
1700,48.5,21.6,9.9
1701,61,30.8,13
1702,64,40.7,15.9
1703,47.5,23.5,10.5
1704,NA,NA,12.1
1705,NA,NA,11.4
1706,49.5,32,15.3
1707,42,25.2,12
1708,44,26.5,10.5
1709,57,37,15.3
1710,42,22,13.5
1711,47.5,31,12.3
1712,44,23,10.3
1713,17,16.5,7
1714,53.5,24,9.4
1715,58.5,31,14
1716,52,29.5,10
1717,62,32.5,17.6
1718,50.5,26.5,10.5
1719,x,40.5,14.6
1720,53.5,32.4,14
1721,71.5,NA,14.8
1722,73,37,15
1723,46.5,29,14.8
1724,41.5,27.6,15.5
1725,27,18.6,11
1726,44.5,24,14.4
1727,35,20.5,8.5
1728,61,37,15
1729,37,24,13
1730,NA,NA,13.8
1731,39,26.5,15.3
1732,49.5,28,12
1733,50.5,32.4,15.5
1734,67.5,38.5,16.3
1735,45.5,22.7,10.5
1736,63.5,33.4,14.7
1737,55,35.5,14.5
1738,45.5,34.7,15
1739,47.5,34.3,15.7
1740,28,17.5,7
1741,41,29.2,14
1742,46,21.6,9.5
1743,67,38.6,14
1744,51,24.9,14.1
1745,58,36.7,15
1746,61,27.5,10.5
1747,48.5,31.6,11
1748,NA,NA,15
1749,78,46.1,21
1750,48.5,26.5,14.1
1751,81,52.2,22.2
1752,55.5,30,13.5
1753,54,32,12.1
1754,61,30.3,12
1755,61.5,38.5,15.5
1756,56.5,40,14.3
1757,51.2,29.6,12.5
1758,46.5,26.3,12.6
1759,52,24.9,12
1760,47.5,30.8,9.9
1761,45.5,29.6,11.6
1762,26,19.8,7
1763,33,25.5,11.8
1764,52,27.8,11
1765,47.5,22.7,13
1766,NA,NA,22.6
1767,49.5,29.5,12.6
1768,54.5,33.6,13.5
1769,44,34.2,15
1770,61.5,40,13.6
1771,NA,NA,11.5
1772,69.5,42.5,23
1773,70.5,34.7,13
1774,59,27.5,12
1775,58,31.5,11
1776,NA,NA,6.7
1777,70.5,32,11.3
1778,61.5,30.5,11.2
1779,63.5,42.4,15
1780,40.5,22.5,9.9
1781,53.5,27.6,14.8
1782,NA,NA,18.1
1783,62,44.5,17
1784,51.5,27.5,16
1785,62.5,43.5,18.1
1786,56.5,31.5,11.8
1787,63,39,18.7
1788,42.5,30.2,13.8
1789,33.5,21.5,13
1790,61,37,15.2
1791,52,32,17
1792,63,39,17.7
1793,60.5,37.9,12
1794,45,26,12.5
1795,47,31.3,16.3
1796,18,11.4,6.4
1797,62,34.2,17
1798,53.5,35.4,13.2
1799,55.5,27,13.5
1800,77.5,40,11.4
