tree_ID,year,treatment,assessment,block,family
1249,2020,EMF,rust_inoc,4,ENDO-160
1256,2020,EMF,rust_inoc,4,ENDO-155
1257,2020,EMF,rust_inoc,4,ENDO-155
1259,2020,FFE+EMF,rust_inoc,1,ENDO-156
1263,2020,FFE+EMF,rust_inoc,1,ENDO-156
1264,2020,FFE+EMF,rust_inoc,1,ENDO-158
1265,2020,FFE+EMF,rust_inoc,1,ENDO-158
1268,2020,FFE+EMF,rust_inoc,1,ENDO-158
1270,2020,FFE+EMF,rust_inoc,1,ENDO-159
1272,2020,FFE+EMF,rust_inoc,1,ENDO-159
1276,2020,FFE+EMF,rust_inoc,1,ENDO-160
1278,2020,FFE+EMF,rust_inoc,1,ENDO-160
1279,2020,FFE+EMF,rust_inoc,1,ENDO-157
1280,2020,FFE+EMF,rust_inoc,1,ENDO-157
1282,2020,FFE+EMF,rust_inoc,1,ENDO-157
1286,2020,FFE+EMF,rust_inoc,1,ENDO-155
1287,2020,FFE+EMF,rust_inoc,1,ENDO-155
1289,2020,FFE+EMF,rust_inoc,1,ENDO-155
1291,2020,FFE+EMF,rust_inoc,2,ENDO-159
1293,2020,FFE+EMF,rust_inoc,2,ENDO-159
1294,2020,FFE+EMF,rust_inoc,2,ENDO-159
1296,2020,FFE+EMF,rust_inoc,2,ENDO-158
1297,2020,FFE+EMF,rust_inoc,2,ENDO-158
1299,2020,FFE+EMF,rust_inoc,2,ENDO-158
1303,2020,FFE+EMF,rust_inoc,2,ENDO-157
1305,2020,FFE+EMF,rust_inoc,2,ENDO-157
1307,2020,FFE+EMF,rust_inoc,2,ENDO-155
1310,2020,FFE+EMF,rust_inoc,2,ENDO-155
1313,2020,FFE+EMF,rust_inoc,2,ENDO-160
1314,2020,FFE+EMF,rust_inoc,2,ENDO-160
1318,2020,FFE+EMF,rust_inoc,2,ENDO-156
1320,2020,FFE+EMF,rust_inoc,2,ENDO-156
1321,2020,FFE+EMF,rust_inoc,2,ENDO-156
1324,2020,FFE+EMF,rust_inoc,3,ENDO-156
1325,2020,FFE+EMF,rust_inoc,3,ENDO-156
1326,2020,FFE+EMF,rust_inoc,3,ENDO-156
1328,2020,FFE+EMF,rust_inoc,3,ENDO-158
1331,2020,FFE+EMF,rust_inoc,3,ENDO-158
1334,2020,FFE+EMF,rust_inoc,3,ENDO-160
1335,2020,FFE+EMF,rust_inoc,3,ENDO-160
1338,2020,FFE+EMF,rust_inoc,3,ENDO-160
1340,2020,FFE+EMF,rust_inoc,3,ENDO-155
1343,2020,FFE+EMF,rust_inoc,3,ENDO-155
1346,2020,FFE+EMF,rust_inoc,3,ENDO-159
1349,2020,FFE+EMF,rust_inoc,3,ENDO-159
1351,2020,FFE+EMF,rust_inoc,3,ENDO-157
1352,2020,FFE+EMF,rust_inoc,3,ENDO-157
1353,2020,FFE+EMF,rust_inoc,3,ENDO-157
1354,2020,FFE+EMF,rust_inoc,4,ENDO-159
1355,2020,FFE+EMF,rust_inoc,4,ENDO-159
1358,2020,FFE+EMF,rust_inoc,4,ENDO-159
1359,2020,FFE+EMF,rust_inoc,4,ENDO-160
1360,2020,FFE+EMF,rust_inoc,4,ENDO-160
1362,2020,FFE+EMF,rust_inoc,4,ENDO-160
1363,2020,FFE+EMF,rust_inoc,4,ENDO-156
